                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.55087,                0.97733,                0.89721,                      1,                0.72157,                  0.995,                 0.8851,                0.50846,                 2.4929,                0.80037,              0.0013107,              0.0013107,              0.0013107
                     37,                0.59951,                0.90277,                0.86092,                      1,                0.88947,                  0.995,                0.82557,                 0.6585,                 2.4326,                0.82701,              0.0013444,              0.0013444,              0.0013444
                     38,                0.51168,                0.87002,                0.88369,                      1,                0.78633,                  0.995,                0.83335,                0.64988,                 2.4651,                0.81657,              0.0013779,              0.0013779,              0.0013779
                     39,                0.59588,                0.84466,                0.89815,                      1,                0.70205,                  0.995,                0.89013,                0.58336,                 2.4733,                0.90896,              0.0014113,              0.0014113,              0.0014113
                     40,                0.55081,                0.80589,                0.87499,                      1,                0.94115,                  0.995,                0.91511,                0.60008,                 2.3291,                0.94421,              0.0014444,              0.0014444,              0.0014444
                     41,                0.56279,                0.84599,                0.87399,                0.94261,                      1,                  0.995,                0.87535,                0.60254,                  1.993,                 0.8398,              0.0014774,              0.0014774,              0.0014774
                     42,                0.56879,                0.80353,                0.87165,                0.96931,                      1,                  0.995,                0.85554,                0.66783,                 1.6415,                0.81448,              0.0015103,              0.0015103,              0.0015103
                     43,                0.59357,                0.85598,                0.89676,                0.98126,                      1,                  0.995,                0.84756,                0.66361,                 1.4318,                0.86831,              0.0015429,              0.0015429,              0.0015429
                     44,                0.61876,                0.80049,                0.87284,                0.98069,                      1,                  0.995,                0.86846,                 0.6176,                 1.4592,                0.98196,              0.0015754,              0.0015754,              0.0015754
                     45,                0.64835,                0.81174,                0.88743,                0.98235,                      1,                  0.995,                0.85511,                 0.6209,                 1.5537,                 0.9613,              0.0016077,              0.0016077,              0.0016077
                     46,                0.57913,                0.79911,                0.88159,                0.98762,                      1,                  0.995,                0.84211,                0.66106,                 1.4709,                0.95958,              0.0016398,              0.0016398,              0.0016398
                     47,                0.63157,                0.77976,                0.89117,                0.96674,                      1,                  0.995,                0.83336,                0.74253,                 1.3464,                   1.01,              0.0016718,              0.0016718,              0.0016718
                     48,                 0.5965,                0.75073,                0.89154,                  0.988,                      1,                  0.995,                0.83942,                0.64463,                 1.3034,                 0.9493,              0.0017035,              0.0017035,              0.0017035
                     49,                0.58189,                0.74097,                0.90166,                      1,                 0.9932,                  0.995,                0.80757,                0.78858,                 1.2981,                0.89169,              0.0017351,              0.0017351,              0.0017351
                     50,                0.66429,                 0.8029,                0.89172,                      1,                0.98875,                  0.995,                0.82376,                0.72154,                 1.4963,                0.84221,              0.0017666,              0.0017666,              0.0017666
                     51,                0.56025,                0.76332,                0.88373,                0.96703,                      1,                  0.995,                0.82747,                0.69992,                 1.8068,                 0.8385,                0.00178,                0.00178,                0.00178
                     52,                0.50967,                 0.6869,                  0.837,                0.95191,                      1,                  0.995,                0.86533,                0.74533,                 1.8794,                0.90091,                0.00178,                0.00178,                0.00178
                     53,                0.54843,                0.71034,                0.88308,                0.96638,                      1,                  0.995,                0.82537,                0.72092,                 1.4823,                0.92155,              0.0017756,              0.0017756,              0.0017756
                     54,                0.57142,                0.67796,                0.85806,                0.98406,                      1,                  0.995,                0.83336,                0.67993,                 1.3282,                 0.9538,              0.0017712,              0.0017712,              0.0017712
                     55,                0.58794,                0.65762,                0.85984,                      1,                 0.9925,                  0.995,                0.80712,                0.74398,                 1.2773,                0.89948,              0.0017668,              0.0017668,              0.0017668
                     56,                0.47134,                0.63983,                0.86901,                0.97989,                      1,                  0.995,                0.82257,                0.73607,                 1.0948,                0.82729,              0.0017624,              0.0017624,              0.0017624
                     57,                0.53598,                0.69584,                0.89855,                0.98452,                      1,                  0.995,                0.83057,                0.70868,                 1.0009,                0.81316,               0.001758,               0.001758,               0.001758
                     58,                0.55249,                 0.7459,                 0.8661,                0.97385,                      1,                  0.995,                0.85554,                 0.7017,                 1.1109,                0.86022,              0.0017536,              0.0017536,              0.0017536
                     59,                 0.5669,                0.65693,                0.89277,                0.97902,                      1,                  0.995,                0.79973,                0.68949,                 1.1058,                0.91388,              0.0017492,              0.0017492,              0.0017492
                     60,                0.54001,                0.65124,                0.88164,                0.98668,                      1,                  0.995,                 0.8381,                0.69779,                 1.0345,                0.94413,              0.0017448,              0.0017448,              0.0017448
                     61,                0.55775,                0.65943,                 0.8823,                0.98879,                      1,                  0.995,                0.82211,                0.68761,                 0.9457,                0.91161,              0.0017404,              0.0017404,              0.0017404
                     62,                0.46523,                0.58725,                0.82561,                0.98888,                      1,                  0.995,                0.82443,                0.66822,                0.79415,                0.85422,               0.001736,               0.001736,               0.001736
                     63,                0.56503,                0.71878,                0.89057,                0.98954,                      1,                  0.995,                0.81514,                0.63919,                0.82527,                0.84178,              0.0017316,              0.0017316,              0.0017316
                     64,                 0.6172,                0.66708,                0.89243,                0.91126,                      1,                  0.995,                 0.7916,                 0.7048,                0.93965,                0.89208,              0.0017272,              0.0017272,              0.0017272
                     65,                0.61723,                0.63965,                0.89169,                0.98705,                      1,                  0.995,                0.83547,                0.63993,                0.92929,                0.83449,              0.0017228,              0.0017228,              0.0017228
                     66,                0.53254,                0.62068,                0.91259,                0.99016,                      1,                  0.995,                0.85511,                0.66337,                 0.7692,                0.85843,              0.0017184,              0.0017184,              0.0017184
                     67,                0.61266,                0.63276,                 0.8903,                0.99042,                      1,                  0.995,                0.80536,                0.70322,                0.78379,                0.87237,               0.001714,               0.001714,               0.001714
                     68,                0.67436,                0.67241,                0.89349,                 0.9879,                      1,                  0.995,                 0.8551,                0.65857,                0.77248,                0.84258,              0.0017096,              0.0017096,              0.0017096
                     69,                0.52174,                0.59159,                 0.8614,                0.98535,                      1,                  0.995,                 0.8511,                0.65576,                 0.6719,                0.84391,              0.0017052,              0.0017052,              0.0017052
                     70,                0.55294,                0.56981,                0.88854,                0.98355,                      1,                  0.995,                0.85733,                0.63703,                0.73573,                0.84608,              0.0017008,              0.0017008,              0.0017008
                     71,                0.49574,                0.59638,                0.87792,                0.98543,                      1,                  0.995,                 0.8024,                 0.6858,                0.74362,                0.86884,              0.0016964,              0.0016964,              0.0016964
                     72,                0.54847,                0.59195,                0.86168,                0.98583,                      1,                  0.995,                0.83557,                  0.671,                0.74511,                0.88059,               0.001692,               0.001692,               0.001692
                     73,                0.54583,                0.58311,                0.86246,                0.98541,                      1,                  0.995,                0.85733,                0.60676,                0.70697,                 0.8479,              0.0016876,              0.0016876,              0.0016876
                     74,                0.47767,                0.53996,                 0.8498,                0.98403,                      1,                  0.995,                0.82212,                0.62089,                0.65857,                0.84954,              0.0016832,              0.0016832,              0.0016832
                     75,                0.51075,                  0.569,                 0.8903,                0.98029,                      1,                  0.995,                0.83558,                0.69273,                0.83935,                0.89469,              0.0016788,              0.0016788,              0.0016788
                     76,                0.46965,                0.51869,                0.86802,                0.97989,                      1,                  0.995,                 0.8169,                0.75967,                0.90384,                0.91035,              0.0016744,              0.0016744,              0.0016744
